WKT,名称,说明
"POINT (104.1832969 30.8251719)",点 9,
"POINT (104.1833022 30.8251581)",点 10,
"POINT (104.1832821 30.8251489)",点 11,
"POINT (104.1832459 30.8251397)",点 12,
"POINT (104.1832218 30.8251247)",点 15,
"POINT (104.1831896 30.8251489)",点 16,
"POINT (104.1831561 30.8251984)",点 17,
"POINT (104.1831185 30.8252364)",点 18,
"POINT (104.1830917 30.8252733)",点 19,
"POINT (104.1830637 30.8253206)",点 20,
"POINT (104.1830289 30.8253678)",点 21,
"POINT (104.1830208 30.8254323)",点 22,
"POINT (104.1830034 30.8255072)",点 23,
"POINT (104.1829733 30.8255766)",点 24,
"POINT (104.1829542 30.8256533)",点 25,
"POINT (104.1829427 30.8257401)",点 26,
"POINT (104.1829306 30.825823)",点 27,
"POINT (104.1829601 30.825914)",点 28,
"POINT (104.1829831 30.8259946)",点 29,
"POINT (104.1829972 30.8260752)",点 30,
"POINT (104.1830223 30.8261512)",点 31,
"POINT (104.1830424 30.8262284)",点 32,
"POINT (104.1830598 30.8263205)",点 33,
"POINT (104.1830861 30.8263993)",点 34,
"POINT (104.183109 30.8264867)",点 35,
"POINT (104.1831425 30.8265627)",点 36,
"POINT (104.1831934 30.8266146)",点 37,
"POINT (104.1832444 30.8266802)",点 38,
"POINT (104.1833155 30.8267539)",点 39,
"POINT (104.1833852 30.8267758)",点 40,
"POINT (104.1834429 30.8267493)",点 41,
"POINT (104.183467 30.8267021)",点 42,
"POINT (104.183459 30.8266687)",点 43,
"POINT (104.1834429 30.8266318)",点 44,
"POINT (104.1834147 30.8266077)",点 45,
"POINT (104.1833718 30.8265766)",点 46,
"POINT (104.1833235 30.8265512)",点 47,
"POINT (104.183282 30.8265063)",点 48,
"POINT (104.1832578 30.826466)",点 49,
"POINT (104.183243 30.8264253)",点 50,
"POINT (104.1832377 30.8263908)",点 51,
"POINT (104.1832323 30.8263516)",点 52,
"POINT (104.1832384 30.8263031)",点 53,
"POINT (104.1832263 30.8262386)",点 54,
"POINT (104.1832312 30.8261825)",点 55,
"POINT (104.1832232 30.8261191)",点 56,
"POINT (104.1831963 30.8260431)",点 57,
"POINT (104.1831767 30.8259773)",点 58,
"POINT (104.1831722 30.8259194)",点 59,
"POINT (104.1831735 30.8258618)",点 60,
"POINT (104.1831952 30.825808)",点 61,
"POINT (104.1832167 30.8257608)",点 62,
"POINT (104.1832486 30.8256957)",点 63,
"POINT (104.18327 30.8256313)",点 64,
"POINT (104.1832674 30.825576)",点 65,
"POINT (104.1832633 30.8255217)",点 66,
"POINT (104.1832513 30.8254698)",点 67,
"POINT (104.1832539 30.8254284)",点 68,
"POINT (104.1832513 30.8253777)",点 69,
"POINT (104.1832513 30.8253328)",点 70,
"POINT (104.1832607 30.8252867)",点 71,
"POINT (104.1832754 30.8252591)",点 72,
"POINT (104.1832875 30.8252222)",点 73,
